"asset_id"	"relative_path"	"file_name"	"file_ext"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"file_size"	"sha1"	"notes"
"orig_362c492d8e46"	"process_digital_dept/local_aiops_runbooks/cpu_high_usage.md"	"cpu_high_usage.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"3585"	"38a70012a278342354acdfab163f36f7b9cb8822"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_f6392fb9f728"	"process_digital_dept/local_aiops_runbooks/disk_high_usage.md"	"disk_high_usage.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"7716"	"33dcf0070a1aac9912a2f94e8e16e4cad6715dbc"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_4b06c1b10689"	"process_digital_dept/local_aiops_runbooks/memory_high_usage.md"	"memory_high_usage.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"5427"	"43958c50f0c101a3104189e952a44727718cba78"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_1514736c1213"	"process_digital_dept/local_aiops_runbooks/service_unavailable.md"	"service_unavailable.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"7486"	"7696934864793f7603df8eb8948ca40ec08bda5a"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_55d4be6ba121"	"process_digital_dept/local_aiops_runbooks/slow_response.md"	"slow_response.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"6615"	"88b4c3a2b7dfd831c1adc1987c770c7bd739da16"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_ac94e9a9c40f"	"process_digital_dept/prometheus_kubernetes_runbooks/CPUThrottlingHigh.md"	"CPUThrottlingHigh.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"1415"	"c832d2439f3263c0d0561b4478031b2a9a65e909"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_84c09b76b857"	"process_digital_dept/prometheus_kubernetes_runbooks/KubeNodeNotReady.md"	"KubeNodeNotReady.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"1054"	"21cc7a72436bb6b26ab142f5a5d4e91ec5cb9392"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_7d32994bcf7e"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePersistentVolumeFillingUp.md"	"KubePersistentVolumeFillingUp.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"4435"	"b081faba438391f8b26ce03c1ca2aa8c126181a7"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_e7f663b1a0a4"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePodCrashLooping.md"	"KubePodCrashLooping.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"1677"	"17cb662a87744627f9fa57ed168dbb22a5a307df"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_6ef056457584"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePodNotReady.md"	"KubePodNotReady.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"1965"	"38cc979732200e899aed47d400dfb40cabeefb88"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
