"asset_id"	"relative_path"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"notes"
"orig_362c492d8e46"	"process_digital_dept/local_aiops_runbooks/cpu_high_usage.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_f6392fb9f728"	"process_digital_dept/local_aiops_runbooks/disk_high_usage.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_4b06c1b10689"	"process_digital_dept/local_aiops_runbooks/memory_high_usage.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_1514736c1213"	"process_digital_dept/local_aiops_runbooks/service_unavailable.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_55d4be6ba121"	"process_digital_dept/local_aiops_runbooks/slow_response.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-LOCAL-A owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/aiops; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_ac94e9a9c40f"	"process_digital_dept/prometheus_kubernetes_runbooks/CPUThrottlingHigh.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_84c09b76b857"	"process_digital_dept/prometheus_kubernetes_runbooks/KubeNodeNotReady.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_7d32994bcf7e"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePersistentVolumeFillingUp.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_e7f663b1a0a4"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePodCrashLooping.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_6ef056457584"	"process_digital_dept/prometheus_kubernetes_runbooks/KubePodNotReady.md"	"process_digital_dept"	"approved"	"true"	"false"	"S4-ARCHIVE-B owner approved 2026-06-09; kb_id=process_digital_dept; scope=oncall/k8s/monitoring; defaults unchanged: dense_only/rewrite_off/rerank_false"
