"asset_id"	"relative_path"	"file_name"	"file_ext"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"file_size"	"sha1"	"notes"
"orig_2731b1634216"	"craft_dept/local_pdfs/2021_中车长春轨道客车_温室气体排放报告.pdf"	"2021_中车长春轨道客车_温室气体排放报告.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"663537"	"8ee3b6876d3ad872e4136020c8b0462da1e5c13f"	"C6-P1a owner approved 2026-06-12; scope=craft environmental data; PDF sanity only; not oncall runbook; defaults locked"
"orig_e5cc2649092e"	"craft_dept/local_pdfs/2023_中车长春轨道客车_友商合规承诺书中英对照.pdf"	"2023_中车长春轨道客车_友商合规承诺书中英对照.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"165128"	"ab418ce5a270f920048b86b627f66ab56437bcaa"	"C6-P1a owner approved 2026-06-12; scope=craft compliance/bilingual; PDF sanity only; not oncall runbook; defaults locked"
"orig_b357d02544bf"	"craft_dept/local_pdfs/2024_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"2024_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"2847191"	"394bec1d74f042b7b6967b86ec417c6ef4dc70fa"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring/compliance; PDF page/table/source_ref sanity only; not oncall runbook; defaults locked"
"orig_bf3f8aa324ab"	"craft_dept/local_pdfs/2025_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"2025_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"4232056"	"e758336ee2b8f9f183a56e1fcf2119b82b6893d0"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring/compliance/version compare; PDF sanity only; defaults locked"
"orig_681297fe1ec0"	"craft_dept/local_pdfs/2025_中车长春轨道客车_环境信息依法披露临时报告1.pdf"	"2025_中车长春轨道客车_环境信息依法披露临时报告1.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"109374"	"3fcd3c0078936cefbf3d48cbd67e3f97f68ce10a"	"C6-P1a owner approved 2026-06-12; scope=craft compliance disclosure; PDF sanity only; not oncall runbook; defaults locked"
"orig_dba5513164e0"	"craft_dept/local_pdfs/2025_中车长春轨道客车_监测报告.pdf"	"2025_中车长春轨道客车_监测报告.pdf"	"pdf"	"craft_dept"	"approved"	"true"	"false"	"16661174"	"b4fd0ad405497008ed96f0e6027ce3ff373c04b3"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring report/table extraction; PDF sanity only; defaults locked"
"orig_2316d37849ed"	"process_digital_dept/local_md/aiops_lab_README.md"	"aiops_lab_README.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"1521"	"cca093e9a92f2e721d7aef891293b83d86d838dc"	"C6-P1a owner approved 2026-06-12; scope=AIOps lab operations; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_ebe5bf9c1b0a"	"process_digital_dept/local_md/aiops_真实模拟执行清单.md"	"aiops_真实模拟执行清单.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"18316"	"81773929997173385598219fc9ed4c7f56942453"	"C6-P1a owner approved 2026-06-12; scope=AIOps scenario/fault chain; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_f6a6d1e2ea2e"	"process_digital_dept/local_md/数据库操作能力.md"	"数据库操作能力.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"36090"	"5a8c27ce06b74f39783552a9c0b48d1751756f6e"	"C6-P1a owner approved 2026-06-12; scope=DB ops safety/query capability; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_2b6fc41928c7"	"process_digital_dept/local_md/数据库操作能力执行步骤清单.md"	"数据库操作能力执行步骤清单.md"	"md"	"process_digital_dept"	"approved"	"true"	"false"	"53989"	"5b4056e01aa5e47f2bb35f540cd3590c59e99fa8"	"C6-P1a owner approved 2026-06-12; scope=DB SOP/answer-eval candidate; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
