"asset_id"	"relative_path"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"notes"
"orig_2731b1634216"	"craft_dept/local_pdfs/2021_中车长春轨道客车_温室气体排放报告.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft environmental data; PDF sanity only; not oncall runbook; defaults locked"
"orig_e5cc2649092e"	"craft_dept/local_pdfs/2023_中车长春轨道客车_友商合规承诺书中英对照.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft compliance/bilingual; PDF sanity only; not oncall runbook; defaults locked"
"orig_b357d02544bf"	"craft_dept/local_pdfs/2024_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring/compliance; PDF page/table/source_ref sanity only; not oncall runbook; defaults locked"
"orig_bf3f8aa324ab"	"craft_dept/local_pdfs/2025_中车长春轨道客车_土壤地下水自行监测方案.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring/compliance/version compare; PDF sanity only; defaults locked"
"orig_681297fe1ec0"	"craft_dept/local_pdfs/2025_中车长春轨道客车_环境信息依法披露临时报告1.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft compliance disclosure; PDF sanity only; not oncall runbook; defaults locked"
"orig_dba5513164e0"	"craft_dept/local_pdfs/2025_中车长春轨道客车_监测报告.pdf"	"craft_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=craft monitoring report/table extraction; PDF sanity only; defaults locked"
"orig_2316d37849ed"	"process_digital_dept/local_md/aiops_lab_README.md"	"process_digital_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=AIOps lab operations; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_ebe5bf9c1b0a"	"process_digital_dept/local_md/aiops_真实模拟执行清单.md"	"process_digital_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=AIOps scenario/fault chain; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_f6a6d1e2ea2e"	"process_digital_dept/local_md/数据库操作能力.md"	"process_digital_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=DB ops safety/query capability; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
"orig_2b6fc41928c7"	"process_digital_dept/local_md/数据库操作能力执行步骤清单.md"	"process_digital_dept"	"approved"	"true"	"false"	"C6-P1a owner approved 2026-06-12; scope=DB SOP/answer-eval candidate; partial corpus expansion only; defaults locked dense_only/rewrite_off/rerank_false"
